signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
evm_tb.led[7:0],15,0,0.0,0.008356545961002786,0.008356545961002786,0.0,0,15
evm_tb.button1,4,0,0.0,0.009523809523809525,0.009523809523809525,0.5,0,4
evm_tb.button2,8,0,0.0,0.004481792717086834,0.004481792717086834,0.34173669467787116,0,8
evm_tb.button3,8,0,0.0,0.005177993527508091,0.005177993527508091,0.39158576051779936,0,8
evm_tb.button4,4,0,0.0,0.002240896358543417,0.002240896358543417,0.23249299719887956,0,4
evm_tb.clk,1358,0,0.0,0.2,0.2,0.5,0,1358
evm_tb.mode,4,0,0.0,0.002240896358543417,0.002240896358543417,0.12324929971988796,0,4
evm_tb.reset,5,0,0.0,0.0037174721189591076,0.0037174721189591076,0.15985130111524162,0,5
