signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
tff_tb.qb,11,0,0.0,0.0003793103448275862,0.0003793103448275862,0.6551724137931034,0,11
tff_tb.q,11,0,0.0,0.0003793103448275862,0.0003793103448275862,0.3448275862068966,0,11
tff_tb.clk,35,0,0.0,0.001,0.001,0.4857142857142857,0,35
tff_tb.t,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.6666666666666666,0,4
tff_tb.dut._0_,11,0,0.0,0.00036666666666666667,0.00036666666666666667,0.3,0,11
tff_tb.dut.clk,35,0,0.0,0.001,0.001,0.4857142857142857,0,35
tff_tb.dut.qb,11,0,0.0,0.0003793103448275862,0.0003793103448275862,0.6551724137931034,0,11
tff_tb.dut.t,4,0,0.0,0.00013333333333333334,0.00013333333333333334,0.6666666666666666,0,4
tff_tb.dut.q,11,0,0.0,0.0003793103448275862,0.0003793103448275862,0.3448275862068966,0,11
