signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy,design
encoder4x2_tb3.dut.out[1:0],7,0,0.0,0.0001272727272727,0.0001272727272727,0.2,0,7,encoder4x2_gl3
demux1x4_tb3.o3,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.1025641025641025,0,2,demux1x4_gl3
demux1x4_tb3.o2,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.1538461538461538,0,2,demux1x4_gl3
demux1x4_tb3.o1,0,0,0.0,0.0,0.0,0.0,0,0,demux1x4_gl3
demux1x4_tb3.o0,0,0,0.0,0.0,0.0,0.0,0,0,demux1x4_gl3
demux1x4_tb3.a[3:0],6,0,0.0,0.0001538461538461,0.0001538461538461,0.0,0,6,demux1x4_gl3
demux1x4_tb3.sel[1:0],6,0,0.0,0.0001538461538461,0.0001538461538461,0.358974358974359,0,6,demux1x4_gl3
demux1x4_tb3.dut._00_,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.8461538461538461,0,2,demux1x4_gl3
demux1x4_tb3.dut._01_,2,0,0.0,8e-05,8e-05,0.6,0,2,demux1x4_gl3
demux1x4_tb3.dut._02_,4,0,0.0,0.0001142857142857,0.0001142857142857,0.6,0,4,demux1x4_gl3
demux1x4_tb3.dut._03_,4,0,0.0,0.0001025641025641,0.0001025641025641,0.7692307692307693,0,4,demux1x4_gl3
demux1x4_tb3.dut.a[3:0],6,0,0.0,0.0001538461538461,0.0001538461538461,0.0,0,6,demux1x4_gl3
demux1x4_tb3.dut.o0,0,0,0.0,0.0,0.0,0.0,0,0,demux1x4_gl3
demux1x4_tb3.dut.o1,0,0,0.0,0.0,0.0,0.0,0,0,demux1x4_gl3
demux1x4_tb3.dut.o2,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.1538461538461538,0,2,demux1x4_gl3
demux1x4_tb3.dut.o3,2,0,0.0,5.128205128205128e-05,5.128205128205128e-05,0.1025641025641025,0,2,demux1x4_gl3
demux1x4_tb3.dut.sel[1:0],6,0,0.0,0.0001538461538461,0.0001538461538461,0.358974358974359,0,6,demux1x4_gl3
tff_tb.qb,11,0,0.0,0.0003793103448275,0.0003793103448275,0.6551724137931034,0,11,tff_gl
