signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
tff_tb2.qb,12,0,0.0,0.00034285714285714285,0.00034285714285714285,0.3142857142857143,0,12
tff_tb2.q,12,0,0.0,0.00034285714285714285,0.00034285714285714285,0.6857142857142857,0,12
tff_tb2.clk,45,0,0.0,0.001,0.001,0.4888888888888889,0,45
tff_tb2.t,3,0,0.0,8.333333333333333e-05,8.333333333333333e-05,0.6666666666666666,0,3
tff_tb2.dut._0_,13,0,0.0,0.0003611111111111111,0.0003611111111111111,0.6666666666666666,0,13
tff_tb2.dut.clk,45,0,0.0,0.001,0.001,0.4888888888888889,0,45
tff_tb2.dut.qb,12,0,0.0,0.00034285714285714285,0.00034285714285714285,0.3142857142857143,0,12
tff_tb2.dut.t,3,0,0.0,8.333333333333333e-05,8.333333333333333e-05,0.6666666666666666,0,3
tff_tb2.dut.q,12,0,0.0,0.00034285714285714285,0.00034285714285714285,0.6857142857142857,0,12
