signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
counter_tb.count[3:0],7,0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0,7
counter_tb.clk,15,0,0.0,0.14285714285714285,0.14285714285714285,0.4666666666666667,0,15
counter_tb.rst,1,0,0.0,0.1,0.1,1.0,0,1
counter_tb.uut._01_,3,0,0.0,0.030612244897959183,0.030612244897959183,0.8571428571428571,0,3
counter_tb.uut._02_,1,0,0.0,0.01020408163265306,0.01020408163265306,0.0,0,1
counter_tb.uut.clk,15,0,0.0,0.14285714285714285,0.14285714285714285,0.4666666666666667,0,15
counter_tb.uut.rst,1,0,0.0,0.1,0.1,1.0,0,1
counter_tb.uut._00_[3:0],7,0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0,7
counter_tb.uut.count[3:0],7,0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0,7
