signal,total_toggles,glitch_toggles,hazard_ratio,toggle_density,effective_activity,duty_cycle,glitch_power_proxy,total_power_proxy
evm_tb.led[7:0],16,0,0.0,0.008913649025069638,0.008913649025069638,0.0,0,16
evm_tb.button1,4,0,0.0,0.004519774011299435,0.004519774011299435,0.23728813559322035,0,4
evm_tb.button2,6,0,0.0,0.005479452054794521,0.005479452054794521,0.547945205479452,0,6
evm_tb.button3,12,0,0.0,0.007692307692307693,0.007692307692307693,0.40064102564102566,0,12
evm_tb.button4,4,0,0.0,0.002240896358543417,0.002240896358543417,0.23249299719887956,0,4
evm_tb.clk,1358,0,0.0,0.2,0.2,0.5,0,1358
evm_tb.mode,4,0,0.0,0.002240896358543417,0.002240896358543417,0.12324929971988796,0,4
evm_tb.reset,1,0,0.0,0.005,0.005,1.0,0,1
