signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
mux2x1_tb.out,1,7.692307692307693e-05,7.692307692307693e-05,7.692307692307692e-13,7.692307692307693e-05,0.0
mux2x1_tb.a,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.6666666666666666
mux2x1_tb.b,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.5185185185185185
mux2x1_tb.sel,4,0.00014814814814814815,3.7037037037037037e-05,1.4814814814814814e-12,0.00014814814814814815,0.6296296296296297
mux2x1_tb.dut.a,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.6666666666666666
mux2x1_tb.dut.b,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.5185185185185185
mux2x1_tb.dut.sel,4,0.00014814814814814815,3.7037037037037037e-05,1.4814814814814814e-12,0.00014814814814814815,0.6296296296296297
mux2x1_tb.dut.out,1,7.692307692307693e-05,7.692307692307693e-05,7.692307692307692e-13,7.692307692307693e-05,0.0
