signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
full_adder_tb3.sum,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.5434782608695652
full_adder_tb3.carry,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.6304347826086957
full_adder_tb3.a,3,9.67741935483871e-05,3.2258064516129034e-05,9.67741935483871e-13,9.67741935483871e-05,0.16129032258064516
full_adder_tb3.b,3,7.317073170731707e-05,2.4390243902439026e-05,7.317073170731707e-13,7.317073170731707e-05,0.8292682926829268
full_adder_tb3.c,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.6304347826086957
full_adder_tb3.dut.a,3,9.67741935483871e-05,3.2258064516129034e-05,9.67741935483871e-13,9.67741935483871e-05,0.16129032258064516
full_adder_tb3.dut.b,3,7.317073170731707e-05,2.4390243902439026e-05,7.317073170731707e-13,7.317073170731707e-05,0.8292682926829268
full_adder_tb3.dut.c,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.6304347826086957
full_adder_tb3.dut.carry,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.6304347826086957
full_adder_tb3.dut.w3,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.30434782608695654
full_adder_tb3.dut.w2,4,9.75609756097561e-05,2.4390243902439026e-05,9.75609756097561e-13,9.75609756097561e-05,0.36585365853658536
full_adder_tb3.dut.w1,2,4.878048780487805e-05,2.4390243902439026e-05,4.878048780487805e-13,4.878048780487805e-05,0.4634146341463415
full_adder_tb3.dut.sum,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.5434782608695652
full_adder_tb3.dut.ha1.a,3,9.67741935483871e-05,3.2258064516129034e-05,9.67741935483871e-13,9.67741935483871e-05,0.16129032258064516
full_adder_tb3.dut.ha1.b,3,7.317073170731707e-05,2.4390243902439026e-05,7.317073170731707e-13,7.317073170731707e-05,0.8292682926829268
full_adder_tb3.dut.ha1.carry,4,9.75609756097561e-05,2.4390243902439026e-05,9.75609756097561e-13,9.75609756097561e-05,0.36585365853658536
full_adder_tb3.dut.ha1.sum,2,4.878048780487805e-05,2.4390243902439026e-05,4.878048780487805e-13,4.878048780487805e-05,0.4634146341463415
full_adder_tb3.dut.ha2.a,2,4.878048780487805e-05,2.4390243902439026e-05,4.878048780487805e-13,4.878048780487805e-05,0.4634146341463415
full_adder_tb3.dut.ha2.b,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.6304347826086957
full_adder_tb3.dut.ha2.carry,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.30434782608695654
full_adder_tb3.dut.ha2.sum,6,0.00013043478260869564,2.173913043478261e-05,1.3043478260869565e-12,0.00013043478260869564,0.5434782608695652
