signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
half_adder_tb2.SUM,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.14285714285714285
half_adder_tb2.CARRY,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.5714285714285714
half_adder_tb2.t_a,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,0.0
half_adder_tb2.t_b,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.7142857142857143
half_adder_tb2.dut.a,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,0.0
half_adder_tb2.dut.b,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.7142857142857143
half_adder_tb2.dut.carry,2,5.714285714285714e-05,2.857142857142857e-05,5.714285714285715e-13,5.714285714285714e-05,0.5714285714285714
half_adder_tb2.dut.sum,3,8.571428571428571e-05,2.857142857142857e-05,8.571428571428571e-13,8.571428571428571e-05,0.14285714285714285
