signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
counter_tb.count[3:0],7,0.07142857142857142,0.01020408163265306,7.142857142857143e-10,0.07142857142857142,0.14285714285714285
counter_tb.clk,15,0.14285714285714285,0.009523809523809525,1.4285714285714286e-09,0.14285714285714285,0.4666666666666667
counter_tb.rst,1,0.1,0.1,1e-09,0.1,1.0
counter_tb.uut.clk,15,0.14285714285714285,0.009523809523809525,1.4285714285714286e-09,0.14285714285714285,0.4666666666666667
counter_tb.uut.rst,1,0.1,0.1,1e-09,0.1,1.0
counter_tb.uut.count[3:0],7,0.07142857142857142,0.01020408163265306,7.142857142857143e-10,0.07142857142857142,0.14285714285714285
