signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
evm_tb.led[7:0],14,0.007799442896935933,0.0005571030640668524,7.799442896935933e-11,0.007799442896935933,0.0
evm_tb.button1,4,0.009523809523809525,0.002380952380952381,9.523809523809523e-11,0.009523809523809525,0.5
evm_tb.button2,8,0.004481792717086834,0.0005602240896358543,4.4817927170868346e-11,0.004481792717086834,0.34173669467787116
evm_tb.button3,8,0.005177993527508091,0.0006472491909385113,5.1779935275080905e-11,0.005177993527508091,0.39158576051779936
evm_tb.button4,4,0.002240896358543417,0.0005602240896358543,2.2408963585434173e-11,0.002240896358543417,0.23249299719887956
evm_tb.clk,1358,0.2,0.001914580265095729,2e-09,0.2,0.5
evm_tb.mode,4,0.002240896358543417,0.0005602240896358543,2.2408963585434173e-11,0.002240896358543417,0.12324929971988796
evm_tb.reset,5,0.0037174721189591076,0.0007434944237918215,3.717472118959108e-11,0.0037174721189591076,0.15985130111524162
