signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
jkff_tb3.qb,8,0.00019047619047619048,2.380952380952381e-05,1.9047619047619046e-12,0.00019047619047619048,0.47619047619047616
jkff_tb3.q,8,0.00019047619047619048,2.380952380952381e-05,1.9047619047619046e-12,0.00019047619047619048,0.47619047619047616
jkff_tb3.clk,25,0.0005,2e-05,5e-12,0.0005,0.48
jkff_tb3.jk[1:0],7,0.000175,2.5e-05,1.75e-12,0.000175,0.225
jkff_tb3.dut.clk,25,0.0005,2e-05,5e-12,0.0005,0.48
jkff_tb3.dut.jk[1:0],7,0.000175,2.5e-05,1.75e-12,0.000175,0.225
jkff_tb3.dut.q,8,0.00019047619047619048,2.380952380952381e-05,1.9047619047619046e-12,0.00019047619047619048,0.47619047619047616
jkff_tb3.dut.qb,8,0.00019047619047619048,2.380952380952381e-05,1.9047619047619046e-12,0.00019047619047619048,0.47619047619047616
