signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
srff_tb.qb,7,0.00014,2e-05,1.4e-12,0.00014,0.32
srff_tb.q,7,0.00014,2e-05,1.4e-12,0.00014,0.48
srff_tb.clk[1:0],32,0.0005,1.5625e-05,5e-12,0.0005,0.0
srff_tb.sr[1:0],9,0.00015254237288135592,1.694915254237288e-05,1.5254237288135594e-12,0.00015254237288135592,0.15254237288135594
srff_tb.dut.clk[1:0],32,0.0005,1.5625e-05,5e-12,0.0005,0.0
srff_tb.dut.sr[1:0],9,0.00015254237288135592,1.694915254237288e-05,1.5254237288135594e-12,0.00015254237288135592,0.15254237288135594
srff_tb.dut.q,7,0.00014,2e-05,1.4e-12,0.00014,0.48
srff_tb.dut.qb,7,0.00014,2e-05,1.4e-12,0.00014,0.32
