signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
mux2x1_tb2.out,3,8.333333333333333e-05,2.777777777777778e-05,8.333333333333333e-13,8.333333333333333e-05,0.3333333333333333
mux2x1_tb2.a,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.5833333333333334
mux2x1_tb2.b,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.3333333333333333
mux2x1_tb2.sel,5,0.00015625,3.125e-05,1.5625e-12,0.00015625,0.375
mux2x1_tb2.dut.a,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.5833333333333334
mux2x1_tb2.dut.b,4,0.00011111111111111112,2.777777777777778e-05,1.1111111111111112e-12,0.00011111111111111112,0.3333333333333333
mux2x1_tb2.dut.sel,5,0.00015625,3.125e-05,1.5625e-12,0.00015625,0.375
mux2x1_tb2.dut.out,3,8.333333333333333e-05,2.777777777777778e-05,8.333333333333333e-13,8.333333333333333e-05,0.3333333333333333
