signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
srff_tb3.qb,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.08695652173913043
srff_tb3.q,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.8695652173913043
srff_tb3.clk,26,0.0005,1.923076923076923e-05,5e-12,0.0005,0.5
srff_tb3.sr[1:0],8,0.00018604651162790697,2.325581395348837e-05,1.8604651162790696e-12,0.00018604651162790697,0.18604651162790697
srff_tb3.dut.clk,26,0.0005,1.923076923076923e-05,5e-12,0.0005,0.5
srff_tb3.dut.qb,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.08695652173913043
srff_tb3.dut.sr[1:0],8,0.00018604651162790697,2.325581395348837e-05,1.8604651162790696e-12,0.00018604651162790697,0.18604651162790697
srff_tb3.dut.q,4,8.695652173913044e-05,2.173913043478261e-05,8.695652173913043e-13,8.695652173913044e-05,0.8695652173913043
