signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
ring_tb.count[7:0],9,0.42857142857142855,0.047619047619047616,4.285714285714286e-09,0.42857142857142855,0.09523809523809523
ring_tb.clk,22,1.0,0.045454545454545456,1e-08,1.0,0.5
ring_tb.init,1,0.14285714285714285,0.14285714285714285,1.4285714285714286e-09,0.14285714285714285,1.0
ring_tb.DUT.clk,22,1.0,0.045454545454545456,1e-08,1.0,0.5
ring_tb.DUT.init,1,0.14285714285714285,0.14285714285714285,1.4285714285714286e-09,0.14285714285714285,1.0
ring_tb.DUT.count[7:0],9,0.42857142857142855,0.047619047619047616,4.285714285714286e-09,0.42857142857142855,0.09523809523809523
