signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
tff_tb.qb,11,0.0003793103448275862,3.4482758620689657e-05,3.793103448275862e-12,0.0003793103448275862,0.6551724137931034
tff_tb.q,11,0.0003793103448275862,3.4482758620689657e-05,3.793103448275862e-12,0.0003793103448275862,0.3448275862068966
tff_tb.clk,35,0.001,2.857142857142857e-05,1e-11,0.001,0.4857142857142857
tff_tb.t,4,0.00013333333333333334,3.3333333333333335e-05,1.3333333333333334e-12,0.00013333333333333334,0.6666666666666666
tff_tb.dut.clk,35,0.001,2.857142857142857e-05,1e-11,0.001,0.4857142857142857
tff_tb.dut.t,4,0.00013333333333333334,3.3333333333333335e-05,1.3333333333333334e-12,0.00013333333333333334,0.6666666666666666
tff_tb.dut.q,11,0.0003793103448275862,3.4482758620689657e-05,3.793103448275862e-12,0.0003793103448275862,0.3448275862068966
tff_tb.dut.qb,11,0.0003793103448275862,3.4482758620689657e-05,3.793103448275862e-12,0.0003793103448275862,0.6551724137931034
