signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle,design
full_adder_tb.dut.ha1.b,1,5e-05,5e-05,5e-13,5e-05,1.0,full_adder_rtl
full_adder_tb.dut.ha1.carry,2,0.0001,5e-05,1e-12,0.0001,0.25,full_adder_rtl
full_adder_tb.dut.ha1.sum,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,1.0,full_adder_rtl
full_adder_tb.dut.ha2.a,1,6.666666666666667e-05,6.666666666666667e-05,6.666666666666667e-13,6.666666666666667e-05,1.0,full_adder_rtl
full_adder_tb.dut.ha2.b,4,0.0002,5e-05,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.dut.ha2.carry,2,0.0002,0.0001,2e-12,0.0002,0.5,full_adder_rtl
full_adder_tb.dut.ha2.sum,3,0.00015,5e-05,1.5e-12,0.00015,0.75,full_adder_rtl
demux1x4_tb3.o3,2,5.128205128205128e-05,2.564102564102564e-05,5.128205128205128e-13,5.128205128205128e-05,0.1025641025641025,demux1x4_rtl3
demux1x4_tb3.o2,2,5.128205128205128e-05,2.564102564102564e-05,5.128205128205128e-13,5.128205128205128e-05,0.1538461538461538,demux1x4_rtl3
demux1x4_tb3.a[3:0],6,0.0001538461538461,2.564102564102564e-05,1.5384615384615385e-12,0.0001538461538461,0.0,demux1x4_rtl3
demux1x4_tb3.sel[1:0],6,0.0001538461538461,2.564102564102564e-05,1.5384615384615385e-12,0.0001538461538461,0.358974358974359,demux1x4_rtl3
demux1x4_tb3.dut.a[3:0],6,0.0001538461538461,2.564102564102564e-05,1.5384615384615385e-12,0.0001538461538461,0.0,demux1x4_rtl3
demux1x4_tb3.dut.sel[1:0],6,0.0001538461538461,2.564102564102564e-05,1.5384615384615385e-12,0.0001538461538461,0.358974358974359,demux1x4_rtl3
demux1x4_tb3.dut.o2,2,5.128205128205128e-05,2.564102564102564e-05,5.128205128205128e-13,5.128205128205128e-05,0.1538461538461538,demux1x4_rtl3
demux1x4_tb3.dut.o3,2,5.128205128205128e-05,2.564102564102564e-05,5.128205128205128e-13,5.128205128205128e-05,0.1025641025641025,demux1x4_rtl3
encoder4x2_tb2.out[1:0],6,0.0001052631578947,1.7543859649122806e-05,1.0526315789473685e-12,0.0001052631578947,0.3508771929824561,encoder4x2_rtl2
encoder4x2_tb2.d[3:0],7,0.0001228070175438,1.7543859649122806e-05,1.2280701754385965e-12,0.0001228070175438,0.175438596491228,encoder4x2_rtl2
encoder4x2_tb2.dut.d[3:0],7,0.0001228070175438,1.7543859649122806e-05,1.2280701754385965e-12,0.0001228070175438,0.175438596491228,encoder4x2_rtl2
encoder4x2_tb2.dut.out[1:0],6,0.0001052631578947,1.7543859649122806e-05,1.0526315789473685e-12,0.0001052631578947,0.3508771929824561,encoder4x2_rtl2
half_adder_tb.SUM,2,6.666666666666667e-05,3.3333333333333335e-05,6.666666666666667e-13,6.666666666666667e-05,0.6666666666666666,half_adder_rtl
half_adder_tb.CARRY,1,3.3333333333333335e-05,3.3333333333333335e-05,3.3333333333333334e-13,3.3333333333333335e-05,0.0,half_adder_rtl
half_adder_tb.t_a,1,5e-05,5e-05,5e-13,5e-05,0.0,half_adder_rtl
half_adder_tb.t_b,3,0.0001,3.3333333333333335e-05,1e-12,0.0001,0.3333333333333333,half_adder_rtl
half_adder_tb.dut.a,1,5e-05,5e-05,5e-13,5e-05,0.0,half_adder_rtl
half_adder_tb.dut.b,3,0.0001,3.3333333333333335e-05,1e-12,0.0001,0.3333333333333333,half_adder_rtl
half_adder_tb.dut.carry,1,3.3333333333333335e-05,3.3333333333333335e-05,3.3333333333333334e-13,3.3333333333333335e-05,0.0,half_adder_rtl
half_adder_tb.dut.sum,2,6.666666666666667e-05,3.3333333333333335e-05,6.666666666666667e-13,6.666666666666667e-05,0.6666666666666666,half_adder_rtl
mux2x1_tb2.out,3,8.333333333333333e-05,2.777777777777778e-05,8.333333333333334e-13,8.333333333333333e-05,0.3333333333333333,mux2x1_rtl2
mux2x1_tb2.a,4,0.0001111111111111,2.777777777777778e-05,1.1111111111111112e-12,0.0001111111111111,0.5833333333333334,mux2x1_rtl2
mux2x1_tb2.b,4,0.0001111111111111,2.777777777777778e-05,1.1111111111111112e-12,0.0001111111111111,0.3333333333333333,mux2x1_rtl2
mux2x1_tb2.sel,5,0.00015625,3.125e-05,1.5625e-12,0.00015625,0.375,mux2x1_rtl2
mux2x1_tb2.dut.a,4,0.0001111111111111,2.777777777777778e-05,1.1111111111111112e-12,0.0001111111111111,0.5833333333333334,mux2x1_rtl2
mux2x1_tb2.dut.b,4,0.0001111111111111,2.777777777777778e-05,1.1111111111111112e-12,0.0001111111111111,0.3333333333333333,mux2x1_rtl2
mux2x1_tb2.dut.sel,5,0.00015625,3.125e-05,1.5625e-12,0.00015625,0.375,mux2x1_rtl2
mux2x1_tb2.dut.out,3,8.333333333333333e-05,2.777777777777778e-05,8.333333333333334e-13,8.333333333333333e-05,0.3333333333333333,mux2x1_rtl2
srff_tb2.qb,5,0.0001,2e-05,1e-12,0.0001,0.4,srff_rtl2
srff_tb2.q,5,0.0001,2e-05,1e-12,0.0001,0.48,srff_rtl2
srff_tb2.clk,26,0.0005,1.923076923076923e-05,5e-12,0.0005,0.5,srff_rtl2
srff_tb2.sr[1:0],8,0.0001702127659574,2.127659574468085e-05,1.7021276595744684e-12,0.0001702127659574,0.2127659574468085,srff_rtl2
srff_tb2.dut.clk,26,0.0005,1.923076923076923e-05,5e-12,0.0005,0.5,srff_rtl2
srff_tb2.dut.qb,5,0.0001,2e-05,1e-12,0.0001,0.4,srff_rtl2
srff_tb2.dut.sr[1:0],8,0.0001702127659574,2.127659574468085e-05,1.7021276595744684e-12,0.0001702127659574,0.2127659574468085,srff_rtl2
