signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
jkff_tb2.qb,6,0.00015789473684210527,2.6315789473684212e-05,1.5789473684210527e-12,0.00015789473684210527,0.7368421052631579
jkff_tb2.q,6,0.00015789473684210527,2.6315789473684212e-05,1.5789473684210527e-12,0.00015789473684210527,0.21052631578947367
jkff_tb2.clk,25,0.0005,2e-05,5e-12,0.0005,0.48
jkff_tb2.jk[1:0],8,0.00017391304347826088,2.173913043478261e-05,1.7391304347826086e-12,0.00017391304347826088,0.43478260869565216
jkff_tb2.dut.clk,25,0.0005,2e-05,5e-12,0.0005,0.48
jkff_tb2.dut.jk[1:0],8,0.00017391304347826088,2.173913043478261e-05,1.7391304347826086e-12,0.00017391304347826088,0.43478260869565216
jkff_tb2.dut.q,6,0.00015789473684210527,2.6315789473684212e-05,1.5789473684210527e-12,0.00015789473684210527,0.21052631578947367
jkff_tb2.dut.qb,6,0.00015789473684210527,2.6315789473684212e-05,1.5789473684210527e-12,0.00015789473684210527,0.7368421052631579
