signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
cyclic_tb.light[2:0],6,0.06818181818181818,0.011363636363636364,6.818181818181819e-10,0.06818181818181818,0.18181818181818182
cyclic_tb.clock,12,0.125,0.010416666666666666,1.25e-09,0.125,0.5
cyclic_tb.DUT.clock,12,0.125,0.010416666666666666,1.25e-09,0.125,0.5
cyclic_tb.DUT.light[2:0],6,0.06818181818181818,0.011363636363636364,6.818181818181819e-10,0.06818181818181818,0.18181818181818182
cyclic_tb.DUT.state[1:0],6,0.06818181818181818,0.011363636363636364,6.818181818181819e-10,0.06818181818181818,0.36363636363636365
