signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
evm_tb.led[7:0],15,0.008356545961002786,0.0005571030640668524,8.356545961002785e-11,0.008356545961002786,0.0
evm_tb.button1,4,0.009523809523809525,0.002380952380952381,9.523809523809523e-11,0.009523809523809525,0.5
evm_tb.button2,6,0.005479452054794521,0.0009132420091324201,5.4794520547945205e-11,0.005479452054794521,0.547945205479452
evm_tb.button3,8,0.005177993527508091,0.0006472491909385113,5.1779935275080905e-11,0.005177993527508091,0.39158576051779936
evm_tb.button4,4,0.002240896358543417,0.0005602240896358543,2.2408963585434173e-11,0.002240896358543417,0.23249299719887956
evm_tb.clk,1358,0.2,0.001914580265095729,2e-09,0.2,0.5
evm_tb.mode,4,0.002240896358543417,0.0005602240896358543,2.2408963585434173e-11,0.002240896358543417,0.12324929971988796
evm_tb.reset,1,0.005,0.005,5e-11,0.005,1.0
