signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
mux2x1_tb3.out,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.37037037037037035
mux2x1_tb3.a,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.5555555555555556
mux2x1_tb3.b,5,0.00014705882352941175,2.9411764705882354e-05,1.4705882352941176e-12,0.00014705882352941175,0.5
mux2x1_tb3.sel,4,0.00011764705882352942,2.9411764705882354e-05,1.1764705882352942e-12,0.00011764705882352942,0.7058823529411765
mux2x1_tb3.dut.a,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.5555555555555556
mux2x1_tb3.dut.b,5,0.00014705882352941175,2.9411764705882354e-05,1.4705882352941176e-12,0.00014705882352941175,0.5
mux2x1_tb3.dut.sel,4,0.00011764705882352942,2.9411764705882354e-05,1.1764705882352942e-12,0.00011764705882352942,0.7058823529411765
mux2x1_tb3.dut.out,3,0.00011111111111111112,3.7037037037037037e-05,1.1111111111111112e-12,0.00011111111111111112,0.37037037037037035
