signal,total_toggles,avg_toggle_rate,peak_toggle_rate,activity_factor,toggle_density,duty_cycle
demux1x4_tb.o2,2,0.00011111111111111112,5.555555555555556e-05,1.1111111111111112e-12,0.00011111111111111112,0.3888888888888889
demux1x4_tb.o0,3,7.5e-05,2.5e-05,7.5e-13,7.5e-05,0.25
demux1x4_tb.a[3:0],4,0.0001,2.5e-05,1e-12,0.0001,0.0
demux1x4_tb.sel[1:0],6,0.00015,2.5e-05,1.5e-12,0.00015,0.375
demux1x4_tb.dut.a[3:0],4,0.0001,2.5e-05,1e-12,0.0001,0.0
demux1x4_tb.dut.sel[1:0],6,0.00015,2.5e-05,1.5e-12,0.00015,0.375
demux1x4_tb.dut.o0,3,7.5e-05,2.5e-05,7.5e-13,7.5e-05,0.25
demux1x4_tb.dut.o2,2,0.00011111111111111112,5.555555555555556e-05,1.1111111111111112e-12,0.00011111111111111112,0.3888888888888889
